edo,common_name,culture,pitches,cardinality,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,symmetry,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members
12,,,0 1 3 4 6 7 8,7,3,0,5,0.8163265306122449,81.63265306122449,0.003401360544217685,0.8639455782312925,0.8148148148148148,0.7318065577501442,3.2142857142857144,2,6,21,100,"100,200,400",0.07843137254901962,85,125,1.4705882352941178,6,85,85,98,0,,58,0.54209109728479,0.6357142857142857,0.2857142857142857,90,27,24,0.67994227994228,128.57142857142856,0.07843137254901962,4,4,4,"0,1,3,4,6,7,8",12-475,0 1 3 4 6 7 8,12-475,0 2 6 8 12 14 16,24-86341,4 2 2 1 1 1 1,15
12,,,0 1 3 4 6 7 9,7,3,0,5,0.6122448979591837,61.224489795918366,0.0017006802721088409,0.8979591836734694,0.8888888888888888,0.8113840292960932,2.4523809523809526,1,7,21,100,"100,200,300",0.2040229885057471,58,129,2.2241379310344827,6,58,58,86,0,,14,0.5050389305839905,0.7785714285714286,0.33333333333333337,84,4,27,0.7696969696969698,85.71428571428571,0.2040229885057471,3,3,5,"0,1,3,4,6,7,9",12-731,0 1 3 4 6 7 9,12-731,0 2 6 8 12 14 18,24-282949,3 2 2 2 1 1 1,20
12,,,0 1 3 4 6 8 9,7,3,0,5,0.6122448979591837,61.224489795918366,0.0011337868480725617,0.8979591836734694,0.8888888888888888,0.8113840292960932,2.2619047619047614,1,6,21,100,"100,200,300",0.09465020576131689,81,127,1.5679012345679013,6,81,81,94,0,,51,0.49617026365178857,0.8714285714285714,0.3492063492063492,82,0,18,0.7104978354978355,71.42857142857143,0.09465020576131689,3,4,5,"0,1,3,4,6,8,9",12-859,0 1 3 4 6 8 9,12-859,0 2 6 8 12 16 18,24-332101,3 2 2 2 1 1 1,20
12,,,0 1 3 4 6 8 10,7,2,0,5,0.4081632653061224,40.81632653061224,0.0008503401360544221,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.261904761904762,1,4,21,100,"100,200",0.0970464135021097,79,125,1.5822784810126582,6,79,79,83,0,,50,0.49090486860717203,0.9285714285714286,0.4285714285714286,72,0,10,0.7857142857142858,57.142857142857146,0.0970464135021097,2,4,4,"0,1,3,4,6,8,10",12-1371,0 1 3 4 6 8 10,12-1371,0 2 6 8 12 16 20,24-1118533,2 2 2 2 2 1 1,3
12,,,0 1 3 5 6 7 8,7,3,0,5,0.8163265306122449,81.63265306122449,0.003968253968253966,0.8639455782312925,0.8148148148148148,0.7318065577501442,3.523809523809524,3,4,21,100,"100,200,400",0.0928270042194093,79,123,1.5569620253164558,6,79,79,104,1,4,49,0.5568028404545113,0.55,0.19047619047619047,102,25,38,0.6413629381371317,142.85714285714283,0.0928270042194093,4,5,4,"0,1,3,5,6,7,8",12-491,0 1 3 5 6 7 8,12-491,0 2 6 10 12 14 16,24-87109,4 2 2 1 1 1 1,15
12,,,0 1 3 5 6 7 9,7,3,0,5,0.6122448979591837,61.224489795918366,0.0019841269841269814,0.8979591836734694,0.8888888888888888,0.8113840292960932,2.666666666666667,2,5,21,100,"100,200,300",0.11324786324786325,78,131,1.6794871794871795,6,78,78,103,0,,45,0.5151223049979463,0.7214285714285714,0.23809523809523814,96,6,33,0.6557142857142858,100,0.11324786324786325,3,3,3,"0,1,3,5,6,7,9",12-747,0 1 3 5 6 7 9,12-747,0 2 6 10 12 14 18,24-283717,3 2 2 2 1 1 1,20
12,,,0 1 3 5 6 8 9,7,3,0,5,0.6122448979591837,61.224489795918366,0.0011337868480725617,0.8979591836734694,0.8888888888888888,0.8113840292960932,2.2619047619047614,1,6,21,100,"100,200,300",0.09465020576131689,81,127,1.5679012345679013,6,81,81,94,0,,51,0.49591204288044916,0.8714285714285714,0.3492063492063492,82,0,18,0.7104978354978355,71.42857142857143,0.09465020576131689,3,4,5,"0,1,3,5,6,8,9",12-875,0 1 3 5 6 8 9,12-875,0 2 6 10 12 16 18,24-332869,3 2 2 2 1 1 1,20
12,,,0 1 3 5 6 8 10,7,2,0,5,0.4081632653061224,40.81632653061224,0.0005668934240362812,0.9319727891156463,0.9166666666666666,0.8483160623691466,2.2619047619047614,1,4,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,0 1 3 5 6 8 10,12-1387,0 2 6 10 12 16 20,24-1119301,2 2 2 2 2 1 1,3
12,,,0 1 3 5 7 8 9,7,3,0,5,0.6122448979591837,61.224489795918366,0.001417233560090703,0.8979591836734694,0.8888888888888888,0.8113840292960931,2.476190476190476,2,4,21,100,"100,200,300",0.0905349794238683,81,125,1.5432098765432098,6,81,81,96,0,,53,0.5058711774463339,0.8285714285714285,0.31746031746031744,86,2,22,0.6913586413586413,85.71428571428571,0.0905349794238683,3,4,5,"0,1,3,5,7,8,9",12-939,0 1 3 5 7 8 9,12-939,0 2 6 10 14 16 18,24-345157,3 2 2 2 1 1 1,20
12,,,0 1 4 5 6 7 8,7,3,0,5,1.0204081632653061,102.04081632653062,0.005668934240362809,0.8299319727891157,0.8148148148148148,0.6948745246770908,4.119047619047619,4,4,21,100,"100,300,400",0.09375,80,125,1.5625,6,80,80,93,0,,50,0.5840730961369038,0.4928571428571429,0.2857142857142857,90,45,26,0.6947619047619048,157.14285714285714,0.09375,5,4,4,"0,1,4,5,6,7,8",12-499,0 1 4 5 6 7 8,12-499,0 2 8 10 12 14 16,24-87301,4 3 1 1 1 1 1,6
12,,,0 1 4 5 6 7 9,7,3,0,5,0.8163265306122449,81.63265306122449,0.003401360544217683,0.8639455782312925,0.8888888888888888,0.7744519962230396,3.2619047619047623,3,5,21,100,"100,200,300",0.07843137254901962,85,125,1.4705882352941178,6,85,85,104,0,,58,0.5403828454988218,0.5928571428571429,0.2063492063492064,100,23,34,0.6410236822001528,128.57142857142856,0.07843137254901962,4,4,5,"0,1,4,5,6,7,9",12-755,0 1 4 5 6 7 9,12-755,0 2 8 10 12 14 18,24-283909,3 3 2 1 1 1 1,15
12,,,0 2 3 4 5 6 7,7,3,0,5,1.0204081632653061,102.04081632653062,0.010770975056689336,0.8299319727891157,0.7407407407407407,0.6152970531311421,5.928571428571429,5,3,21,100,"100,200,500",0.09523809523809523,77,121,1.5714285714285714,6,77,77,92,2,"5,6",51,0.6600735024496863,0.37857142857142856,0.31746031746031744,86,62,25,0.6997619047619048,200,0.09523809523809523,5,3,2,"0,2,3,4,5,6,7",12-253,0 2 3 4 5 6 7,12-253,0 4 6 8 10 12 14,24-21841,5 2 1 1 1 1 1,6
